ID,NAME,ADDRESS,CITY,REGION,POSTALCODE,LAT,LON
ICL0000020,Laptopszone,"Shop No :1,Om Shri Sai Mithai Mansion,3-6-430,Himayatnagar,Nr Ttd,Himayat Nagar",Hyderabad,Telangana,500029,17.40615,78.48455
ICL0000025,Modern Mens Bealuty Parlour,"Plot No. 65,Near Kaman,Near Santoshimata Temple,Hasthinapuram",Hyderabad,Telangana,500065,17.34881,78.46946
ICL0000134,Sri Balaji Milk Booth,"H No 8-3-863,Yellareddy Guda,Cross Road,Ameerpet",Hyderabad,Telangana,500073,17.43267,78.44325
ICL0000150,Dr R Gopinath - (Nizams Inst Of Medical Science),"Balapur Basthi,Punjagutta",Hyderabad,Telangana,500082,17.4218,78.45173
ICL0000255,Naren Consultancy Services,"H No 4-125,Agnihotra House,Maruthi Nagar,At Maruthi Nagar,Malkajgiri",Hyderabad,Telangana,500047,17.4525,78.53462
ICL0000279,S Laxmi Narayana,"Shop No 6 A 392,Behind Punjagutta Police Station,Behind Punjagutta Police Station,Punjagutta",Hyderabad,Telangana,500082,17.42607,78.45202
ICL0000286,Jai Bhavani Motors,"Om Sri Sai Nagar Colony,Old Alwal,Alwal,Secunderabad",Hyderabad,Telangana,500010,17.50731,78.50013
ICL0000312,Dr Priti K Shukla,"Mla Colony Road,12 Banjara Hills,Next To Vlcc,Banjara Hills",Hyderabad,Telangana,500034,17.4248,78.4382
ICL0000352,Kamal Garments,"Shop No 2, 1St Floor, Shivalayam Temple Complex, Nr Q City, Gowlidoddi",Hyderabad,Telangana,500075,17.42883,78.32666
ICL0000359,T S Associates,"Beside As Pink Rose Function Hall,Mm Pahadi,Chintalmet Road,Rajendranagar Mandal",Hyderabad,Telangana,500030,17.35226,78.42685
ICL0000384,Jai Shree Enterprises,"4 467, Prem Nagar",Hyderabad,Telangana,500049,17.47937,78.36112
ICL0000401,S.Yathish Enterprises,"1-5-1173,Ramkrishna Raju Residency,Pratap Nagar,Kothapet,Near Sri Venkateshwara Digital Photo Studio",Hyderabad,Telangana,500060,17.37154,78.54095
ICL0000550,DeccanPavilion-Itckakatiya,"Itckakatiyahotel,Plotno.6-3-1187,Begumpet",Hyderabad,Telangana,500016,17.43247,78.45738
ICL0000594,Famous Garments,"1st Floor,Pillar Number-241,Dairy Farm,Opposite Shamsha Bad Flyover,Dairy Fram Cross Road,Rajendra Nagar",Hyderabad,Telangana,500030,17.34206,78.42318
ICL0000621,P Pulla Reddy Ganesh Bar,"3-13-94/4/1,Ramanthapur,Mdr Nagar",Hyderabad,Telangana,500013,17.39054,78.5333
ICL0000645,The Raymond Shop (Raymond),"6-3-456/A1,Model House,Near Bajaj Show Room,Punjagutta",Hyderabad,Telangana,500082,17.42429,78.45318
ICL0000682,Sravani Sarees & Dress Material,"1-6-284, Kandoji Bazar, Opposite Guru Nanak Sindhi Gurudwara",Hyderabad,Telangana,500003,17.43854,78.48955
ICL0000705,Maruti Fashion,"Somajiguda, Near By Yashoda Hospital Bus Stop",Hyderabad,Telangana,500082,17.42455,78.45767
ICL0000770,K N R Travels,"1-116,National Highway 9,Indira Nagar Colony,Near Sri Shankara Nethralaya Eye Hospital,Miyapur",Hyderabad,Telangana,500049,17.49548,78.35547
ICL0000794,Anz Securities And Technologies,"9 10 56/11/25/A, Resham Bagh, Katora House, Golkonda,",Hyderabad,Telangana,500008,17.3901,78.40329
ICL0000869,Anand Enterprises,"1-8-40,Nird Road,Main Road,Rajendra Nagar",Hyderabad,Telangana,500030,17.31714,78.40419
ICL0000871,Global Packersn Movers,"1-2-212/6/A,Global House,Domalguda",Hyderabad,Telangana,500029,17.3972,78.4816
ICL0000917,Spice Hotspot,"Road Number 7, Durga Bhawani Nagar, Near By Sri Venkateswara Swamy Vaari Sannidhanam,Hakimpet",Hyderabad,Telangana,500096,17.41279,78.40934
ICL0000965,Data Technologys (India) Limited,"171,4th Fl,Ritesh Premier Tower,Vasavi Nagar,Karkana Kakaguda",Hyderabad,Telangana,500009,17.46139,78.50058
ICL0000967,F K Gym,"221 2nd Floor,Sagar View Complex,Opposite Ghmc Liberty Road",Hyderabad,Telangana,500029,17.40658,78.47776
ICL0001012,Asian Hydraulic,"5-5-198/1,Lorry Adda,Near Metro 'n' Company,Ranigunj",Hyderabad,Telangana,500003,17.43285,78.49089
ICL0001016,Jugnu Tailors,"Shop No B-1,Gopinath Complex,Mehndipatnam Rd Road,Gopinath Complex,Lingampally",Hyderabad,Telangana,500019,17.49129,78.31682
ICL0001073,Sai Raghavendra Medical & Gen Stores,"Opposite Bhavani Hospital,Shapur Main Road,Ida,Jeedimetla",Hyderabad,Telangana,500055,17.51606,78.44674
ICL0001114,Mega Tailors & Textiles,"Shop No 3-5-19,Rtc Colony,Nar Kamineni Hospital,L B Nagar",Hyderabad,Telangana,500074,17.34923,78.54914
ICL0001269,V S R Tailor,"H No 7-1-914,Subhash Road",Hyderabad,Telangana,500003,17.43533,78.49396
ICL0001273,Jeevan Art Studio,"Shop No 5,J.S. Towers,Ramnagar Colony,M.R. Krishna Road,Alwal",Hyderabad,Telangana,500010,17.49998,78.50822
ICL0001299,Lakshmi Krishna Electricals,"Pno 126 Hno 8/40/6, Srinivas Nagar, Chintal, Rangareddy",Hyderabad,Telangana,500054,17.507,78.45388
ICL0001316,A 1 Decorater,"Banaka,Risal Nagar Road",Hyderabad,Telangana,500059,17.34834,78.49797
ICL0001329,Reliance Mobile Store,"Osmania University Road, Aphb Colony, Near By Ou Engineering College Bus Stop,Amberpet",Hyderabad,Telangana,500044,17.40505,78.51492
ICL0001381,Sri Venkateshwara Medical Hall,"9-1-110,Reddy Colony,Champapet Cross Road",Hyderabad,Telangana,500059,17.34873,78.51558
ICL0001417,Pragathi Raj,"10-3-321,Gms Lane,Humayun Nagar,Mehdipatnam",Hyderabad,Telangana,500028,17.39352,78.44477
ICL0001469,Loksatta Party,"2-2-185,555/E,Somasundar Nagar,Bavgndar Pet,Opposite Sbi,Amberpet",Hyderabad,Telangana,500044,17.3982,78.51205
ICL0001527,Vijaya Lakshmi Jewellers (Works),"D No 2-3-162,Beside Shiva Jewellers,General Bazar",Hyderabad,Telangana,500003,17.43769,78.49121
ICL0001606,Khaisar Sounds,"Near Bada Bazar Road,Railway Bridge,Yakutpura",Hyderabad,Telangana,500023,17.36142,78.4883
ICL0001654,Sri Ram Enterprises,"16/11/16/L/15/2, Afzal Nagar, Malakpet",Hyderabad,Telangana,500013,17.38952,78.51288
ICL0001682,Sree Syamala Heart Clinic,"Rajanigandha Complex, Dilsukh Nagar Main Road, Chaitanyapuri",Hyderabad,Telangana,500060,17.36785,78.53274
ICL0001729,The Deaf Way,"103,1st Floor & 301,3rd Floor,3-6-565,D M Estate,Street No 8,Himayat Nagar",Hyderabad,Telangana,500013,17.39256,78.51351
ICL0001731,S S Ladies Emporium,"16-11-515/B/13,Near Pochamma Temple,Geetanjali Children Wear,T V Tower Road,Dilsukh Nagar",Hyderabad,Telangana,500060,17.36761,78.52304
ICL0001742,Deccan Fancy Bangle Store,"Sanjay Nagar, Near By Mahmood Khan Jewellers,Yousufguda",Hyderabad,Telangana,500045,17.44887,78.42084
ICL0001754,Andhra Prakash Rao C H,"H No 12-1-331/100/2,Asif Nagar",Hyderabad,Telangana,500028,17.38744,78.44748
